Date,Dividends
9/19/13,0.19
6/20/13,0.19
2/21/13,0.19
12/20/12,0.19
9/20/12,0.17
6/21/12,0.17
2/23/12,0.17
12/22/11,0.17
9/15/11,0.15
6/16/11,0.15
2/24/11,0.14
12/22/10,0.14
9/16/10,0.12
6/17/10,0.1
2/25/10,0.1
12/23/09,0.1
9/17/09,0.1
6/18/09,0.1
2/19/09,0.31
12/24/08,0.31
9/18/08,0.31
6/19/08,0.31
2/21/08,0.31
12/20/07,0.31
9/20/07,0.28
6/21/07,0.28
2/22/07,0.28
12/21/06,0.28
9/21/06,0.25
6/22/06,0.25
2/23/06,0.25
12/22/05,0.25
9/22/05,0.22
6/23/05,0.22
2/24/05,0.22
12/22/04,0.22
9/23/04,0.2
6/24/04,0.2
2/26/04,0.2
12/29/03,0.2
9/25/03,0.19
6/26/03,0.19
2/26/03,0.19
12/27/02,0.19
9/25/02,0.18
6/26/02,0.18
2/27/02,0.18
12/27/01,0.18
9/26/01,0.16
7/5/01,0.16
3/5/01,0.16
12/27/00,0.16
9/29/00,0.137
7/5/00,0.137
3/6/00,0.13667
12/22/99,0.13667
9/28/99,0.11667
7/6/99,0.11667
3/4/99,0.11667
12/29/98,0.11667
9/28/98,0.1
7/6/98,0.1
3/5/98,0.1
12/29/97,0.1
9/26/97,0.08667
7/2/97,0.08667
3/4/97,0.08667
12/27/96,0.08667
9/26/96,0.07667
7/1/96,0.07667
3/4/96,0.07667
12/27/95,0.07667
9/27/95,0.06833
6/30/95,0.06833
3/1/95,0.06833
12/23/94,0.06833
9/26/94,0.06
6/28/94,0.06
3/2/94,0.06
12/27/93,0.06
9/20/93,0.0525
6/2/93,0.0525
3/3/93,0.0525
12/1/92,0.0525
9/21/92,0.04917
6/2/92,0.04583
3/3/92,0.04583
12/3/91,0.04583
9/20/91,0.0425
5/31/91,0.0425
2/28/91,0.0425
12/3/90,0.0425
9/20/90,0.03917
5/31/90,0.03917
2/28/90,0.03917
12/4/89,0.03917
9/21/89,0.03417
6/6/89,0.03417
3/1/89,0.03417
12/2/88,0.02917
9/21/88,0.02917
6/7/88,0.02917
3/2/88,0.02917
12/1/87,0.02917
9/23/87,0.0275
6/8/87,0.0275
3/2/87,0.02625
12/2/86,0.02625
9/23/86,0.02417
6/2/86,0.02417
2/28/86,0.02417
12/2/85,0.02417
9/24/85,0.02292
5/31/85,0.02292
2/28/85,0.02292
11/30/84,0.02292
9/25/84,0.02083
6/1/84,0.02083
3/1/84,0.02083
11/30/83,0.02083
9/27/83,0.01979
6/9/83,0.01979
3/2/83,0.01771
11/30/82,0.01771
9/28/82,0.01771
6/3/82,0.01771
3/3/82,0.01667
12/1/81,0.01667
9/15/81,0.01667
6/4/81,0.01667
3/2/81,0.01562
12/2/80,0.01562
9/16/80,0.01562
5/30/80,0.01562
2/29/80,0.01458
11/30/79,0.01458
9/18/79,0.01458
5/31/79,0.01458
2/28/79,0.01354
11/30/78,0.01354
9/12/78,0.01354
6/1/78,0.01354
1/3/78,0.01146
11/30/77,0.01146
9/20/77,0.01146
6/2/77,0.01146
3/3/77,0.00937
12/15/76,0.00937
9/14/76,0.00937
6/10/76,0.00833
3/3/76,0.00833
12/2/75,0.00833
9/16/75,0.00833
6/5/75,0.00833
2/28/75,0.00833
12/3/74,0.00833
9/17/74,0.00833
6/6/74,0.00833
2/28/74,0.00833
11/30/73,0.00833
8/16/73,0.00833
6/7/73,0.00729
2/28/73,0.00729
11/30/72,0.00729
9/19/72,0.00729
6/8/72,0.00729
3/1/72,0.00729
12/2/71,0.00729
9/21/71,0.00729
6/17/71,0.00729
3/3/71,0.00677
12/7/70,0.00677
9/21/70,0.00677
6/11/70,0.00677
3/3/70,0.00677
12/4/69,0.00677
9/15/69,0.00677
6/5/69,0.00677
2/28/69,0.00677
12/5/68,0.00677
5/29/68,0.00677
2/29/68,0.00677
12/5/67,0.00677
7/26/67,0.00171
6/6/67,0.00677
3/7/67,0.00677
12/6/66,0.00677
9/13/66,0.00677
6/7/66,0.00677
3/8/66,0.00677
12/7/65,0.00677
9/21/65,0.00677
6/15/65,0.00573
3/9/65,0.00573
12/8/64,0.00573
9/15/64,0.00573
6/16/64,0.00573
3/10/64,0.00573
12/10/63,0.00573
9/12/63,0.00521
6/18/63,0.00521
3/12/63,0.00521
12/18/62,0.00521
9/18/62,0.00521
6/12/62,0.00521
3/13/62,0.00521
