EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=604800
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=-300
a252968400,0.9964,1.0328,0.9964,0.0000,37011360,5
1,0.9678,0.9912,0.96,0.0000,34512912,5
2,0.9548,0.973,0.9548,0.0000,30154944,5
3,0.9418,0.9678,0.9366,0.0000,30505728,5
4,0.9756,0.9834,0.9444,0.0000,22097136,5
5,0.9886,0.999,0.9704,0.0000,20737536,5
6,0.9366,0.986,0.9366,0.0000,33854592,5
7,0.9444,0.9522,0.921,0.0000,27176016,5
8,0.9314,0.9522,0.908,0.0000,23476272,5
9,0.9678,0.9704,0.9288,0.0000,26330256,5
10,0.9808,0.986,0.9626,0.0000,24023952,5
a259534800,0.9678,0.9964,0.9652,0.0000,22193232,5
a260226000,0.9704,0.986,0.9652,0.0000,18315792,5
1,0.9756,0.9808,0.9548,0.0000,21328560,5
2,1.0042,1.0042,0.9678,0.0000,37933920,5
3,1.0406,1.0588,1.0172,0.0000,61535136,5
4,1.0875,1.1135,1.0354,0.0000,61328640,5
TIMEZONE_OFFSET=-240
a263246400,1.0536,1.1083,1.038,0.0000,44454048,5
1,1.1057,1.1109,1.051,0.0000,34200624,5
2,1.1031,1.1395,1.0927,0.0000,34263216,5
3,1.0901,1.1239,1.0823,0.0000,29030592,5
4,1.0953,1.1109,1.0797,0.0000,24538128,5
5,1.0849,1.1421,1.0823,0.0000,31706976,5
6,1.0641,1.1161,1.0614,0.0000,28271424,5
7,1.0433,1.0745,1.038,0.0000,21842592,5
8,1.051,1.051,1.025,0.0000,27320112,5
9,1.0536,1.0536,1.038,0.0000,23610816,5
10,1.1135,1.1135,1.0485,0.0000,36362832,5
11,1.0901,1.1265,1.0823,0.0000,24672720,5
12,1.1135,1.1343,1.0719,0.0000,23341776,5
13,1.1551,1.1785,1.1083,0.0000,46774704,5
14,1.1681,1.1837,1.1473,0.0000,36228192,5
15,1.1759,1.1993,1.1447,0.0000,29112240,5
16,1.1733,1.1837,1.1395,0.0000,27891792,5
17,1.1239,1.1707,1.1239,0.0000,31620384,5
18,1.1395,1.1395,1.1161,0.0000,45900432,5
19,1.1057,1.1499,1.0953,0.0000,35877456,5
20,1.0927,1.1187,1.0771,0.0000,42383184,5
21,1.1005,1.1187,1.0797,0.0000,31106304,5
22,1.0927,1.1161,1.0901,0.0000,29837808,5
23,1.1031,1.1213,1.0953,0.0000,23927856,5
24,1.0354,1.1031,1.0328,0.0000,34983696,5
25,0.9938,1.038,0.9912,0.0000,47865552,5
TIMEZONE_OFFSET=-300
a278974800,0.999,1.0614,0.9574,0.0000,49436592,5
1,1.0094,1.025,0.986,0.0000,28944192,5
2,1.0354,1.0354,0.973,0.0000,28035984,5
3,1.0354,1.0459,1.0198,0.0000,13929120,5
4,1.0042,1.0354,0.9704,0.0000,18782064,5
5,1.0042,1.0302,0.999,0.0000,22515264,5
6,0.9782,1.0198,0.9756,0.0000,15822192,5
7,0.9886,0.9912,0.9522,0.0000,22697760,5
8,0.9808,1.0016,0.973,0.0000,17412528,5
9,1.0198,1.0276,0.973,0.0000,26191008,5
10,1.025,1.0406,1.0094,0.0000,22933200,5
11,1.0328,1.0459,1.012,0.0000,23663616,5
12,1.038,1.0485,1.0172,0.0000,31721280,5
13,0.9964,1.0406,0.9912,0.0000,24835968,5
14,0.9626,0.9912,0.9574,0.0000,31740480,5
15,0.9756,0.9808,0.96,0.0000,29886000,5
16,0.973,1.0276,0.9704,0.0000,26488944,5
17,0.9548,0.9808,0.947,0.0000,25657824,5
18,0.973,0.9834,0.9574,0.0000,43545888,5
19,0.999,0.999,0.9522,0.0000,26013072,5
20,1.0146,1.0276,0.9938,0.0000,28766448,5
21,0.999,1.0328,0.9938,0.0000,29592816,5
22,0.9938,1.0068,0.9756,0.0000,35483328,5
a292798800,1.0094,1.0146,0.9886,0.0000,21756144,5
a293490000,0.999,1.0094,0.9938,0.0000,24384432,5
1,1.0198,1.0354,0.9938,0.0000,28833648,5
TIMEZONE_OFFSET=-240
a294696000,1.0354,1.0485,1.012,0.0000,25018560,5
1,1.0224,1.0276,1.0094,0.0000,28828896,5
2,1.0354,1.0433,1.0094,0.0000,25263696,5
3,1.0328,1.0745,1.0302,0.0000,24600528,5
4,1.0224,1.038,1.0146,0.0000,27209712,5
5,1.0433,1.0562,1.0198,0.0000,26450544,5
6,1.0302,1.0406,1.025,0.0000,28093680,5
7,1.025,1.0302,0.999,0.0000,25225248,5
8,1.0406,1.051,1.0224,0.0000,23408976,5
9,1.0433,1.0485,1.0328,0.0000,28776096,5
10,1.0459,1.0693,1.0224,0.0000,27079872,5
11,1.0459,1.0641,1.0354,0.0000,31389840,5
12,1.0719,1.0771,1.038,0.0000,26536896,5
13,1.0667,1.0823,1.0614,0.0000,23375376,5
14,1.1239,1.1239,1.0667,0.0000,32369760,5
15,1.1395,1.1473,1.1265,0.0000,38414352,5
16,1.1083,1.1811,1.1005,0.0000,20550096,5
17,1.1083,1.2045,1.0901,0.0000,20002368,5
18,1.0849,1.1109,1.0771,0.0000,22601712,5
19,1.0667,1.0875,1.0588,0.0000,25157952,5
20,1.0667,1.0745,1.0433,0.0000,44170608,5
21,1.0562,1.0771,1.051,0.0000,27916032,5
22,1.0797,1.0875,1.0433,0.0000,33893232,5
23,1.0146,1.0797,0.9886,0.0000,41277984,5
24,0.9756,1.012,0.9756,0.0000,29319024,5
25,0.9938,0.9964,0.9574,0.0000,28089024,5
TIMEZONE_OFFSET=-300
a310424400,1.0042,1.0198,0.9938,0.0000,18186192,5
1,0.973,1.0016,0.9652,0.0000,21967632,5
2,0.9626,0.9938,0.9626,0.0000,28036032,5
3,0.9782,0.9808,0.9366,0.0000,27440304,5
4,0.96,0.9938,0.9574,0.0000,47125584,5
5,0.9756,0.986,0.9522,0.0000,36876912,5
6,1.0042,1.025,0.9574,0.0000,46380816,5
7,1.0459,1.0459,1.012,0.0000,51349008,5
8,1.0588,1.0614,1.0406,0.0000,17095440,5
9,1.0614,1.0641,0.9964,0.0000,26604192,5
10,1.1265,1.1551,1.0536,0.0000,62308800,5
11,1.1135,1.1343,1.0953,0.0000,49989168,5
12,1.1421,1.1525,1.1057,0.0000,47159088,5
13,1.1629,1.1967,1.1265,0.0000,43118208,5
14,1.1395,1.1733,0.8689,0.0000,43944720,5
15,1.0953,1.1525,1.0719,0.0000,53506320,5
