Date,Open,High,Low,Close,Volume,Adj Close
12/11/13,27.11,27.13,26.54,26.58,39729000,26.58
12/10/13,27.09,27.39,27.07,27.14,30836200,27.14
12/9/13,26.93,27.33,26.88,27.19,30725600,27.19
12/6/13,26.77,26.98,26.68,26.94,25325200,26.94
12/5/13,26.63,26.64,26.35,26.45,28455400,26.45
12/4/13,26.34,26.66,26.2,26.64,44920800,26.64
12/3/13,26.6,26.6,26.34,26.56,32745800,26.56
12/2/13,26.65,26.74,26.56,26.66,34632800,26.66
11/29/13,26.75,26.87,26.63,26.66,21405900,26.66
11/27/13,26.83,26.9,26.75,26.83,22705300,26.83
11/26/13,26.72,26.95,26.72,26.78,36551000,26.78
11/25/13,27.14,27.17,26.73,26.73,32335400,26.73
11/22/13,26.87,27.09,26.86,27.08,22047800,27.08
11/21/13,27.02,27.02,26.76,26.91,30361500,26.91
11/20/13,26.99,27.17,26.88,26.96,30286400,26.96
11/19/13,27.13,27.33,26.92,27.03,35371700,27.03
11/18/13,27.28,27.5,27.11,27.22,39084100,27.22
11/15/13,27.01,27.43,26.97,27.2,51678400,27.2
11/14/13,27.15,27.2,26.86,26.99,32425200,26.99
11/13/13,26.97,27.15,26.75,27.15,34366600,27.15
11/12/13,26.92,27.14,26.81,27.05,37560200,27.05
11/11/13,27.02,27.04,26.89,27.01,23837200,27.01
11/8/13,26.42,27.06,26.4,27.05,37708900,27.05
11/7/13,26.94,27.19,26.6,26.6,59523400,26.6
11/6/13,26.47,26.98,26.45,26.9,58534600,26.9
11/5/13,26.32,26.52,26.26,26.42,24870100,26.42
11/4/13,26.59,26.59,26.31,26.43,28166100,26.43
11/1/13,26.05,26.64,26.03,26.54,55634500,26.54
10/31/13,26.35,26.44,26.12,26.14,42831000,26.14
10/30/13,26.29,26.48,26.19,26.37,39811900,26.37
10/29/13,26.19,26.3,26.07,26.21,38420400,26.21
10/28/13,25.88,26.16,25.76,26.09,31952000,26.09
10/25/13,26.07,26.08,25.8,25.88,27373400,25.88
10/24/13,25.84,26.02,25.67,25.94,34619100,25.94
10/23/13,25.99,26,25.64,25.7,39545800,25.7
10/22/13,26.19,26.24,25.98,26.02,43352900,26.02
10/21/13,25.87,26.35,25.79,26.14,60782400,26.14
10/18/13,25.21,25.75,25.09,25.55,98507300,25.55
10/17/13,24.38,24.68,24.23,24.68,45442400,24.68
10/16/13,24.35,24.4,24.13,24.36,30230600,24.36
10/15/13,24.27,24.45,24.15,24.19,28367200,24.19
10/14/13,24.21,24.38,24.16,24.38,22026900,24.38
10/11/13,24.32,24.49,24.2,24.4,34178400,24.4
10/10/13,23.9,24.25,23.82,24.25,38175500,24.25
10/9/13,23.84,23.84,23.5,23.57,35095500,23.57
10/8/13,23.92,23.92,23.67,23.67,42390800,23.67
10/7/13,23.84,24.13,23.8,23.94,28981600,23.94
10/4/13,24.18,24.18,23.9,24.05,33307300,24.05
10/3/13,24.22,24.25,23.84,24.1,37472200,24.1
10/2/13,24.14,24.35,24.05,24.33,34224600,24.33
10/1/13,23.94,24.22,23.9,24.17,28985200,24.17
9/30/13,23.88,24.08,23.82,23.89,35343600,23.89
9/27/13,24.1,24.1,23.94,24.05,25753800,24.05
9/26/13,24.3,24.51,23.96,24.25,34259500,24.25
9/25/13,24.3,24.48,24.2,24.23,29448200,24.23
9/24/13,24.22,24.54,24.22,24.32,33024300,24.32
9/23/13,24.2,24.38,24.15,24.28,41414600,24.28
9/20/13,24.55,24.56,24,24.01,67953000,24.01
9/19/13,24.8,24.89,24.4,24.46,49713200,24.46
9/18/13,24.47,24.91,24.4,24.86,51092000,24.67
9/17/13,24.13,24.47,24.11,24.45,35810200,24.26
9/16/13,24.06,24.23,23.93,24.14,36741200,23.96
9/13/13,23.77,23.9,23.75,23.78,19071500,23.6
9/12/13,24.16,24.2,23.77,23.85,30677600,23.67
9/11/13,23.95,24.09,23.72,24.09,34603600,23.91
9/10/13,23.67,23.94,23.62,23.87,35717800,23.69
9/9/13,23.25,23.46,23.18,23.39,28181800,23.21
9/6/13,23.15,23.38,22.96,23.16,36731500,22.98
9/5/13,23.34,23.35,23.09,23.16,30302300,22.98
9/4/13,22.99,23.18,22.96,23.17,31629800,22.99
9/3/13,23.31,23.45,22.92,23.06,52049800,22.88
8/30/13,23.44,23.5,23.04,23.14,46275600,22.96
8/29/13,23.16,23.3,23.09,23.11,22104600,22.93
8/28/13,23.16,23.4,23.16,23.2,28862600,23.02
8/27/13,23.36,23.39,23.11,23.18,51392900,23
8/26/13,23.74,23.79,23.56,23.61,25948900,23.43
8/23/13,23.83,23.85,23.64,23.78,20690400,23.6
8/22/13,23.66,23.8,23.61,23.78,31033000,23.6
8/21/13,23.72,23.79,23.56,23.61,31897000,23.43
8/20/13,23.77,23.85,23.63,23.72,30451500,23.54
8/19/13,23.9,23.96,23.76,23.85,32219000,23.67
8/16/13,23.88,24.05,23.86,23.95,36315500,23.77
8/15/13,23.97,24.26,23.92,24,39962300,23.82
8/14/13,24.2,24.29,24.05,24.07,27983800,23.89
8/13/13,24.3,24.3,24.1,24.2,28533700,24.02
8/12/13,24.14,24.3,24.06,24.27,27365900,24.08
8/9/13,24.34,24.44,24.21,24.25,20763500,24.06
8/8/13,24.47,24.54,24.22,24.33,22372500,24.14
8/7/13,24.21,24.34,24.09,24.34,27971600,24.15
8/6/13,24.49,24.5,24.25,24.31,22911500,24.12
8/5/13,24.57,24.6,24.49,24.52,17971600,24.33
8/2/13,24.52,24.7,24.4,24.7,25721400,24.51
8/1/13,24.6,24.87,24.52,24.62,31937700,24.43
7/31/13,24.57,24.69,24.36,24.37,38954900,24.18
7/30/13,24.57,24.64,24.4,24.48,31201500,24.29
7/29/13,24.53,24.6,24.46,24.49,25588600,24.3
